count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
168;7375;1;0;1;0;93;1;0;85;1;1;0;0;0;25.3;255;255;255;360.6;1.2;12.2;12.3;55;0;1;0;8;2.1625;2.1625
169;1150;0;1;0;0;68;4;1;70;1;1;0;0;0;32;255;255;255;360.6;3.3;9.7;10.2;62;0;1;0;-2;-7.6;0
171;1225;1;1;0;0;71;1;1;70;0;1;1;0;0;255;13.4;4.7;1.4;4.9;0.6;10.3;10.3;66;65;1;0;1;15.3;15.3
172;1375;1;1;1;1;94;1;0;66;0;0;2;0;0;255;255;28.2;0.4;28.2;2.3;7.8;8.1;0;75;1;0;28;0.467857143;0.467857143
173;1400;1;0;0;1;75;1;1;58;0;1;1;0;0;255;62.3;255;1.5;255;1.5;13.8;13.9;66;68;1;0;17;1.111764706;1.111764706
174;1475;0;1;1;1;108;1;1;66;3;0;1;0;0;20.9;255;85.9;1.6;85.9;3;2.9;4.2;0;66;1;1;42;0.219047619;0.219047619
175;1575;1;0;1;1;84;1;1;66;0;0;3;0;0;255;255;25.2;1.6;25.3;0.9;10.6;10.6;0;97;0;0;18;0.866666667;0.866666667
176;2275;0;1;1;1;82;1;1;68;1;1;1;0;0;43;67.8;36.1;1.6;36.1;3.1;5.1;6;70;75;1;0;14;0.785714286;0.785714286
177;2975;0;1;1;0;91;4;1;50;1;0;1;0;0;16.8;255;3.2;1.1;3.4;3.7;4.8;6.1;0;76;1;0;41;0.270731707;0.270731707
178;3500;0;1;1;0;83;2;1;64;0;0;0;0;0;255;255;255;255;360.6;2.8;3.8;4.7;0;0;0;0;19;0.510526316;0.510526316
179;3900;0;0;0;0;75;1;0;72;1;1;1;0;0;23.7;24.6;9.5;1.4;9.6;1;2.5;2.7;60;61;1;0;3;2.566666667;2.566666667
180;4325;1;1;1;1;90;2;1;69;0;0;1;1;2;255;255;24.2;1.8;24.3;2;4.7;5.1;0;76;1;0;21;0.480952381;0.480952381
181;4400;1;1;1;1;93;2;1;57;2;0;1;1;2;17.5;255;13.3;2.1;13.5;2.5;5.3;5.9;0;82;1;0;36;0.302777778;0.302777778
182;4475;0;1;0;1;93;3;1;90;0;0;3;0;0;255;255;50.5;1.1;50.5;1.7;14;14.1;0;83;1;0;3;6.366666667;6.366666667
183;4575;1;0;1;0;103;2;1;75;2;3;1;0;0;19.9;41.7;9.1;1.6;9.2;1.4;4;4.2;69;86;1;0;28;0.328571429;0.328571429
184;4650;1;1;1;1;90;2;1;75;0;0;2;0;0;255;255;23.2;255;256.1;3.7;2.7;4.6;0;86;0;1;15;0.64;0.64
185;4750;1;0;0;0;75;2;1;67;0;1;2;0;0;255;13.7;4.6;2.8;5.4;0.9;3;3.1;69;78;1;1;8;1.0125;1.0125
186;4775;0;1;1;0;78;3;1;61;2;1;0;0;0;9.8;255;255;255;360.6;2.2;1.7;2.8;69;0;1;0;17;0.458823529;0.458823529
187;4800;0;0;0;1;79;1;0;73;0;0;2;0;0;255;255;0.6;1.7;1.8;1.6;0.9;1.8;0;71;1;0;6;1.133333333;1.133333333
188;4975;1;0;0;0;59;1;1;57;1;1;1;0;0;45.7;26;4.1;1.7;4.4;0.3;6.1;6.1;66;72;0;0;2;5.55;5.55
189;4975;1;0;1;1;93;1;1;68;1;1;1;1;2;34.6;21.3;6.9;1.4;7;0.7;2.4;2.5;73;69;1;0;25;0.3;0.3
190;5025;0;0;1;1;93;1;0;66;1;1;2;0;0;21;24.9;9.1;2.1;9.3;1.3;2.5;2.8;62;53;1;0;27;0.288888889;0.288888889
192;5300;1;1;0;0;73;1;0;72;1;0;1;0;0;18.8;255;32.8;2.1;32.9;3.2;0.8;3.3;0;79;1;0;1;8.3;8.3
193;5875;1;0;1;0;90;2;1;63;1;1;1;0;0;49.9;32.9;19.8;2.7;20;1.3;6.9;7;68;69;1;0;27;0.444444444;0.444444444
194;6225;0;1;1;0;78;1;1;56;4;0;1;0;0;29.4;255;3.3;1.3;3.5;1.9;1.8;2.6;0;83;1;0;22;0.345454545;0.345454545
195;7150;0;1;1;0;75;2;1;53;0;0;1;0;0;255;255;27.1;2.1;27.2;2.9;3.1;4.2;0;86;1;0;22;0.418181818;0.418181818
196;7325;0;1;1;1;98;1;1;62;0;0;1;0;0;255;255;7.7;1.5;7.8;2.8;8.4;8.9;0;80;1;0;36;0.386111111;0.386111111
197;7725;0;0;1;1;81;1;0;69;0;0;0;0;0;255;255;255;255;360.6;1;7.4;7.5;0;0;1;0;12;1.041666667;1.041666667
198;8025;1;0;0;1;88;1;1;81;0;3;1;0;0;255;45.1;1.8;1.6;2.4;1;15;15;74;89;1;0;7;2.857142857;2.857142857
199;8275;0;1;1;1;95;1;1;67;1;1;1;0;0;33.9;90.9;45.5;1.4;45.5;3;13.2;13.5;59;71;1;0;28;0.660714286;0.660714286
200;10425;0;1;1;1;92;1;1;74;0;3;1;0;0;255;89.2;41.6;1.4;41.6;2.9;14.2;14.5;78;89;1;0;18;1.083333333;1.083333333
201;10675;1;0;0;1;73;1;1;75;0;1;0;0;0;255;255;255;255;360.6;0.8;14.8;14.8;80;0;1;0;-2;-9.9;0
202;10725;0;1;1;0;66;2;1;49;1;0;1;0;0;5.2;255;65.8;1.6;65.8;2.1;4;4.5;0;80;1;0;17;0.558823529;0.558823529
204;10875;0;1;1;1;87;1;1;58;2;0;1;0;0;7.1;255;255;1.7;255;2.3;4.5;5.1;0;81;1;0;29;0.348275862;0.348275862
205;11050;1;0;0;0;83;1;1;78;1;1;1;0;0;53.1;50.7;31.6;1.1;31.6;0.7;14.8;14.8;76;80;1;0;5;3.96;3.96
206;11100;1;0;1;0;75;1;1;68;1;1;2;0;0;21.5;40.1;35.5;1.7;35.5;1.6;2.8;3.2;69;77;0;0;7;1.171428571;1.171428571
207;11325;0;0;1;0;64;4;0;65;1;1;1;0;0;41.6;48.1;26.4;1.2;26.4;0.7;8.4;8.4;56;66;1;0;-1;-13.4;0
208;11325;0;0;0;0;87;4;0;65;1;1;1;0;0;41.6;48.1;26.4;1.2;26.4;0.7;13.6;13.6;56;66;1;0;22;0.845454545;0.845454545
209;11650;1;0;0;0;75;1;1;64;0;1;1;0;0;255;33.2;15.5;1.2;15.5;0.3;13.8;13.8;73;84;1;0;11;1.709090909;1.709090909
210;11850;1;0;0;0;74;1;1;68;0;1;1;0;0;255;36.6;14.2;0.6;14.2;14.5;0.8;14.5;76;74;1;0;6;3.25;3.25
211;11900;1;1;1;0;98;4;0;85;0;0;0;0;0;255;255;255;255;360.6;3.2;5;5.9;0;0;1;0;13;0.838461538;0.838461538
212;13250;0;1;1;1;126;1;1;51;2;0;3;1;2;255;255;76.8;1.4;76.8;2.5;5.1;5.7;0;109;1;0;75;0.142666667;0.142666667
214;13500;1;0;1;0;89;2;1;58;0;0;1;0;0;255;255;2.7;2.2;3.5;1.1;3.5;3.7;0;96;1;0;31;0.280645161;0.280645161
215;13725;0;1;1;0;93;2;1;51;2;0;1;1;2;12;255;255;3.1;255;1.6;3.5;3.8;0;70;1;0;42;0.20952381;0.20952381
216;13875;1;1;0;0;68;2;1;53;2;1;1;1;2;28.7;74;24.7;3.3;24.9;1.9;9.6;9.8;69;80;1;0;15;0.986666667;0.986666667
217;14075;0;1;0;0;76;4;1;59;0;1;1;0;0;255;33.9;3.3;1;3.4;2.7;5.5;6.1;74;79;1;0;17;0.652941176;0.652941176
218;14225;1;0;1;0;96;2;0;51;1;1;1;0;0;10.9;23.4;255;2.2;255;1.8;5.9;6.2;66;69;1;0;45;0.248888889;0.248888889
219;15050;1;0;1;0;82;1;1;57;1;1;1;0;0;29.7;54.9;4.1;1.2;4.3;1.8;6.8;7;56;73;1;0;25;0.48;0.48
220;15450;0;1;1;0;93;3;1;66;1;0;0;0;0;33.1;255;255;255;360.6;2.7;5.4;6;0;0;1;0;27;0.407407407;0.407407407
221;16700;0;0;0;0;93;1;0;79;0;2;2;0;0;83.2;18.5;255;2;255;0.9;14;14;85;65;1;0;14;1.357142857;1.357142857
222;16900;1;0;1;0;69;2;1;57;0;0;1;0;0;255;255;34.4;2.8;34.5;1.5;3.3;3.6;0;79;1;0;12;0.716666667;0.716666667
223;17000;1;0;0;0;82;2;1;71;0;0;1;0;0;255;255;7.8;2.8;8.3;1.5;3;3.4;0;90;0;0;11;0.763636364;0.763636364
224;17075;1;1;1;0;76;1;1;60;0;0;1;0;0;255;255;1.7;1.5;2.3;1.8;3;3.5;0;80;1;0;16;0.53125;0.53125
225;17150;0;0;0;0;76;1;0;78;0;1;2;0;0;255;15.4;255;1.5;255;0.9;12.7;12.7;62;71;1;0;-2;-8.85;0
226;17500;1;0;1;1;97;1;1;69;2;1;1;0;0;62.6;54.3;35.3;1.1;35.3;1.8;3;3.5;60;84;1;0;28;0.303571429;0.303571429
227;19025;0;1;1;0;85;2;1;75;2;1;1;0;0;11.5;55.7;6.5;255;255.1;2;3;3.6;61;71;1;0;10;0.86;0.86
228;19625;0;1;1;1;85;1;1;60;2;0;1;0;0;6.9;255;39;1.5;39;2.6;3.8;4.6;0;86;1;0;25;0.384;0.384
229;19675;0;1;1;0;90;1;1;59;0;0;3;0;0;255;255;26.3;1.4;26.3;2.8;4.4;5.2;0;103;0;0;31;0.329032258;0.329032258
230;19775;0;1;0;1;83;2;1;73;1;1;0;0;0;38.6;55.8;15.9;255;255.5;0.8;7.3;7.3;76;78;1;0;10;1.23;1.23
231;19775;1;0;0;0;76;1;1;78;2;1;0;0;0;31.7;255;255;255;360.6;0;14.8;14.8;81;0;1;0;-2;-9.9;0
232;19950;0;1;0;0;77;1;0;75;0;2;2;0;0;255;35;1.6;2.6;3.1;2.3;9.5;9.8;70;51;1;0;2;7.4;7.4
233;20075;0;1;1;1;85;4;1;51;0;0;1;0;0;255;255;1.5;0.9;1.7;2.5;8.6;9;0;76;1;0;34;0.411764706;0.411764706
234;20825;1;0;0;1;64;1;1;59;0;0;1;0;0;255;255;19.7;1.6;19.8;9.6;0.2;9.6;0;82;1;0;5;2.92;2.92
235;22175;1;0;1;0;79;2;1;58;0;0;1;0;0;255;255;24.1;1.8;24.2;1.6;3.9;4.2;0;76;1;0;21;0.438095238;0.438095238
236;22325;0;1;1;1;113;4;1;49;0;0;0;0;0;255;255;255;255;360.6;3.1;4.7;5.6;0;0;1;0;64;0.165625;0.165625
237;22475;0;1;1;0;89;4;1;49;1;0;0;1;2;44.9;255;255;255;360.6;2.7;6.1;6.7;0;0;1;0;40;0.2925;0.2925
238;22700;1;0;1;1;76;1;1;42;2;1;1;0;0;11.9;43.3;10.8;1;10.8;0.6;4.8;4.8;56;68;1;0;34;0.288235294;0.288235294
239;22800;1;0;0;0;48;1;1;50;0;1;1;1;2;255;61.7;36.9;1.3;36.9;0.7;6.5;6.5;71;76;1;0;-2;-5.75;0
240;22800;1;0;1;0;87;1;1;50;2;1;1;1;2;6.5;61.7;36.9;1.3;36.9;1.1;4.6;4.7;71;76;1;0;37;0.262162162;0.262162162
241;22925;0;1;0;1;77;1;1;58;2;1;1;0;0;8.8;38.9;255;1.5;255;2.2;1.6;2.7;65;83;1;0;19;0.405263158;0.405263158
242;23550;1;0;0;0;76;4;1;73;0;0;1;0;0;255;255;5.9;0.9;6;0.2;4.9;4.9;0;75;1;0;3;3.3;3.3
243;25050;1;1;0;0;76;1;0;81;1;1;0;0;0;44.8;255;255;255;360.6;3.5;1.9;4;0;100;1;0;-5;-1.8;0
244;25350;1;0;1;0;100;2;1;72;2;0;0;0;0;56.8;255;255;255;360.6;0.5;11;11;0;0;1;0;28;0.571428571;0.571428571
245;25375;0;1;1;0;95;2;1;59;0;0;2;0;0;255;255;53.3;1.8;53.3;1.9;5.3;5.6;0;100;1;0;36;0.294444444;0.294444444
246;25650;1;1;1;0;85;2;1;62;0;1;0;0;0;255;255;255;255;360.6;1.1;3.8;4;66;0;1;0;23;0.391304348;0.391304348
247;25825;0;1;1;0;92;2;1;69;0;0;1;0;0;255;255;6.1;3.2;6.9;2.9;1.5;3.3;0;97;1;0;23;0.360869565;0.360869565
248;26125;1;0;1;0;75;1;1;53;1;1;1;0;0;17.4;28;15;1;15;0.8;3.5;3.6;58;70;1;0;22;0.390909091;0.390909091
249;28375;0;1;0;1;96;1;1;76;0;0;1;0;0;255;255;74.9;1;74.9;2.6;1.6;3.1;0;73;1;0;20;0.405;0.405
250;28650;1;1;0;0;88;2;1;57;0;1;0;0;0;255;255;255;255;360.6;1.4;9;9.1;76;0;1;0;31;0.45483871;0.45483871
251;29150;1;1;1;1;85;1;0;82;0;0;1;0;0;255;255;24.8;255;256.2;2.9;7.7;8.2;0;91;1;0;3;4.4;4.4
252;29700;0;1;1;0;73;1;1;57;0;0;0;0;0;255;255;255;255;360.6;2.8;5.2;5.9;0;0;1;0;16;0.68125;0.68125
253;900;1;0;1;1;78;1;1;62;4;0;1;0;0;49.8;255;72.9;255;265.2;0.3;13.2;13.2;0;80;1;0;16;1.1375;1.1375
254;1125;1;0;0;0;70;4;1;61;0;0;1;0;0;255;255;33.7;1.7;33.7;1.5;13.3;13.4;0;91;0;0;9;2.044444444;2.044444444
255;1225;0;1;0;0;85;1;1;71;0;0;2;0;0;255;255;37.7;255;257.8;2.1;14.7;14.8;0;70;1;0;14;1.414285714;1.414285714
256;1600;1;0;1;1;84;2;1;49;0;1;1;0;0;255;48.8;4.2;2.4;4.8;1;2.5;2.7;0;79;1;0;35;0.22;0.22
257;2075;0;1;0;0;86;1;0;83;0;0;1;0;0;255;255;57.4;1;57.4;1.7;10.9;11;0;85;1;0;3;5.333333333;5.333333333
258;2325;1;0;1;0;67;1;1;46;1;1;1;0;0;29.7;17.6;4.1;0.9;4.2;1.2;6.8;6.9;66;76;0;0;21;0.566666667;0.566666667
259;2975;1;1;1;1;87;1;0;57;0;0;1;0;0;255;255;57.6;255;261.4;2.5;5.4;6;0;66;1;0;30;0.366666667;0.366666667
260;3625;1;0;1;0;89;1;1;69;2;1;0;0;0;29.7;255;255;255;360.6;0.9;1.3;1.6;64;0;1;0;20;0.33;0.33
261;3775;1;1;0;1;65;1;0;69;0;0;1;0;0;255;255;35.7;0.8;35.7;3.4;6.4;7.2;0;69;1;0;-4;-3.05;0
262;3900;0;0;1;0;105;1;0;68;1;1;0;0;0;11.4;255;255;255;360.6;1.7;3.3;3.7;81;0;1;0;37;0.235135135;0.235135135
263;3925;1;0;1;1;109;1;1;66;0;1;1;0;0;255;23.2;13.5;255;255.4;1;3.3;3.4;81;67;1;0;43;0.195348837;0.195348837
264;3975;0;0;1;1;109;1;0;69;1;1;2;0;0;15.3;35.9;15.2;0.6;15.2;1.5;3.8;4.1;81;109;1;0;40;0.2275;0.2275
265;4850;1;0;1;0;87;2;1;61;1;1;1;0;0;8.7;24.8;2.3;2.6;3.5;1.2;3.4;3.6;71;74;1;0;26;0.330769231;0.330769231
266;5225;1;0;0;0;79;1;1;78;0;1;1;0;0;255;56;25.2;1.9;25.3;0.8;14.1;14.1;80;68;1;0;1;19.1;19.1
267;5450;0;1;0;0;71;1;1;70;1;0;1;0;0;20.6;255;45.9;1.8;45.9;2.7;4.2;5;0;82;1;0;1;10;10
268;7075;1;0;1;0;65;1;1;58;1;1;1;0;0;26;50.2;31.5;0.6;31.5;2.2;5.4;5.8;64;82;1;0;7;1.542857143;1.542857143
269;7250;1;0;0;0;65;2;1;61;1;1;1;0;0;24.3;86;42.3;0.4;42.3;2.3;5.2;5.7;70;72;1;0;4;2.675;2.675
270;7300;1;1;0;1;85;1;1;71;0;0;1;0;0;255;255;15.9;0.7;15.9;2.5;10.9;11.2;0;70;1;0;14;1.157142857;1.157142857
271;7425;0;1;0;0;94;3;1;90;0;0;0;0;0;255;255;255;255;360.6;2.8;1.2;3;0;0;1;0;4;2;2
272;7775;0;1;1;1;87;2;1;69;2;1;0;1;4;25.4;255;255;255;360.6;2.2;3.1;3.8;0;0;1;0;18;0.488888889;0.488888889
273;7950;0;0;0;0;80;1;1;74;0;1;1;0;0;255;46.9;21.8;0.8;21.8;0.2;9.9;9.9;94;86;0;0;6;2.483333333;2.483333333
274;8975;1;1;1;0;80;1;0;78;0;1;4;0;0;255;107.8;82.8;1.3;82.8;2.5;4.9;5.5;58;74;1;0;2;5.25;5.25
275;9000;1;1;0;0;80;1;0;74;1;1;4;0;0;15.3;111.3;58;1.9;58;1.9;13.4;13.5;58;0;1;0;6;3.083333333;3.083333333
276;9850;1;0;0;1;60;1;1;59;1;0;4;0;0;47;255;21.4;255;255.9;0.2;14.8;14.8;0;72;0;1;1;19.8;19.8
277;10075;1;0;1;0;74;2;1;58;0;0;2;0;0;255;255;25.8;255;256.3;0.7;5.7;5.7;0;0;1;0;16;0.66875;0.66875
278;10350;1;1;1;1;133;1;0;76;0;0;1;1;2;255;255;44.6;255;258.9;2.6;10.6;10.9;0;78;1;0;57;0.278947368;0.278947368
279;10625;1;0;1;0;81;2;1;76;0;1;0;0;0;255;255;255;255;360.6;1.4;5.7;5.9;80;0;1;0;5;2.18;2.18
280;10700;1;1;0;0;84;1;0;78;1;3;3;0;0;46.2;55.5;6.1;0.9;6.2;2.5;10.9;11.2;75;89;1;0;6;2.7;2.7
281;10775;1;0;1;1;81;1;1;70;1;1;1;1;2;17.3;29.2;16.4;0.9;16.4;0.8;3.3;3.4;55;76;1;0;11;0.763636364;0.763636364
282;10875;1;0;1;1;104;3;1;74;0;1;1;0;0;255;51.7;31.6;255;257;0.2;4.4;4.4;73;77;1;0;30;0.313333333;0.313333333
283;11550;1;1;0;0;91;1;0;81;1;0;1;0;0;22.3;255;30;0.3;30;3;3.2;4.4;0;89;1;0;10;0.94;0.94
284;12050;0;1;0;0;81;1;1;69;2;1;1;0;0;37.9;64;17.6;1.6;17.7;2.3;10.9;11.1;77;91;1;0;12;1.341666667;1.341666667
285;12050;1;1;1;0;94;1;0;77;3;2;1;0;0;7.4;69.9;37.7;1.2;37.7;2.6;2.6;3.7;81;66;1;0;17;0.511764706;0.511764706
286;12125;0;0;0;1;78;1;0;71;0;2;2;0;0;255;37.7;9.2;0.5;9.2;0.5;7;7;86;92;1;0;7;1.714285714;1.714285714
287;13025;0;1;1;1;129;1;1;69;0;0;0;0;0;255;255;255;255;360.6;2.4;8.1;8.4;0;0;1;0;60;0.223333333;0.223333333
288;13525;0;1;1;0;83;2;1;68;1;0;0;0;0;25.9;255;255;255;360.6;2.4;8.9;9.2;0;0;1;0;15;0.946666667;0.946666667
289;13675;1;0;0;0;70;2;1;71;0;1;0;0;0;255;255;255;255;360.6;1.1;11.9;12;0;91;0;1;-1;-17;0
290;14100;0;1;0;0;75;1;0;78;1;0;1;0;0;17.5;255;10.5;1.4;10.6;4.1;2.3;4.7;0;71;0;0;-3;-3.233333333;0
291;14100;1;0;1;0;68;1;1;53;4;1;1;0;0;19;8.5;255;1.3;255;0.8;1.6;1.8;62;82;1;0;15;0.453333333;0.453333333
292;14375;1;0;0;0;60;4;1;58;1;1;1;0;0;32.8;63.8;33.2;1.3;33.2;0.2;4.8;4.8;71;72;1;0;2;4.9;4.9
293;14450;1;0;1;0;72;1;0;62;1;0;1;0;0;20.1;255;1.8;1.5;2.3;2;2.2;3;0;67;1;0;10;0.8;0.8
294;14625;1;0;0;1;75;1;1;73;1;1;1;0;0;47.7;68.5;35.8;1.3;35.8;1.3;11.3;11.4;75;86;1;0;2;8.2;8.2
295;14625;0;1;1;1;67;1;1;63;1;0;1;0;0;6.4;255;36.6;255;257.6;3.2;3.6;4.8;0;60;1;0;4;2.45;2.45
296;16100;1;1;0;1;79;1;1;91;1;0;0;1;3;52;255;255;255;360.6;3.2;10.8;11.3;0;0;1;0;-12;-1.358333333;0
297;16350;0;1;1;1;108;2;1;36;0;0;0;0;0;255;255;255;255;360.6;4.2;13.4;14;0;0;1;0;72;0.263888889;0.263888889
298;16425;0;1;1;0;85;2;1;40;0;0;0;0;0;255;255;255;255;360.6;2.4;6.1;6.6;0;0;1;0;45;0.257777778;0.257777778
299;16550;0;1;1;0;79;3;1;65;2;1;1;1;2;24.8;97.7;32.1;0.9;32.1;2.6;4.8;5.5;76;83;1;0;14;0.75;0.75
300;1005;1;1;1;0;69;2;1;50;1;1;0;0;0;63.7;255;255;255;360.6;1.1;4.5;4.6;72;0;1;0;19;0.505263158;0.505263158
301;1180;0;1;1;0;89;1;1;73;4;0;1;0;0;62.5;255;40.2;1.1;40.2;3.3;3.2;4.6;0;81;1;0;16;0.6;0.6
302;1180;0;1;1;0;79;4;1;65;1;0;1;0;0;32.5;255;62.5;255;262.5;3.3;8;8.7;0;73;1;0;14;0.978571429;0.978571429
303;1655;0;1;1;1;96;2;1;59;0;0;0;0;0;255;255;255;255;360.6;4;14.4;14.9;0;0;1;0;37;0.537837838;0.537837838
305;2005;0;0;1;1;110;1;0;86;2;1;2;0;0;65.5;89.9;34.4;2.8;34.5;1.6;5.4;5.6;77;60;1;0;24;0.441666667;0.441666667
306;2080;0;1;1;0;89;1;1;78;1;0;1;0;0;63.3;255;56.6;1.2;56.6;3.1;6.3;7;0;83;0;0;11;1.090909091;1.090909091
307;2855;1;1;1;0;72;1;0;73;1;1;1;0;0;68;66;1.9;1.4;2.4;3.4;4.6;5.7;63;65;0;0;-1;-10.7;0
308;3655;0;1;1;1;87;1;1;58;0;0;0;0;0;255;255;255;255;360.6;2.9;5.5;6.2;64;89;1;0;29;0.386206897;0.386206897
309;4305;0;1;1;0;92;1;1;83;0;0;2;0;0;255;255;36.8;255;257.6;2.8;1.3;3.1;0;76;1;0;9;0.9;0.9
310;4430;1;1;1;1;82;1;0;70;1;0;1;0;0;47.6;255;17.4;255;255.6;3.2;6.5;7.2;0;86;1;0;12;1.016666667;1.016666667
311;4805;0;1;0;0;92;3;1;87;0;2;0;0;0;255;255;255;255;360.6;2.5;7.1;7.5;82;0;1;0;5;2.5;2.5
312;4830;1;1;0;0;74;1;0;76;3;0;0;1;2;7.2;255;255;255;360.6;3.5;9.1;9.7;0;0;1;0;-2;-7.35;0
313;4830;0;0;1;1;98;2;1;68;0;0;1;0;0;15;255;8.7;2.5;9.1;1.8;5.8;6.1;0;76;1;0;30;0.37;0.37
314;4930;1;1;1;1;104;1;0;76;0;2;0;0;0;255;255;255;255;360.6;2.7;4.7;5.4;77;0;1;0;28;0.371428571;0.371428571
315;4955;1;0;1;0;95;2;1;79;2;1;1;0;0;22.7;106.5;28.3;2.4;28.4;1.6;4.4;4.7;72;82;1;0;16;0.60625;0.60625
316;5105;0;1;1;0;82;2;1;63;1;1;1;0;0;26.4;44.7;4.6;1.8;4.9;1.5;3.1;3.4;78;68;1;0;19;0.442105263;0.442105263
317;5130;1;0;0;0;69;2;1;72;2;1;3;0;0;34.8;17.7;255;2.3;255;0.1;14.2;14.2;75;81;1;0;-3;-6.4;0
318;5130;0;1;0;1;81;2;1;72;2;1;1;0;0;14.2;37.9;13.6;1.4;13.7;2.4;2;3.1;75;76;1;0;9;0.9;0.9
319;5305;1;0;1;0;79;1;1;65;0;1;1;1;2;255;28.5;255;1.5;255;1.2;4.4;4.6;69;75;1;0;14;0.685714286;0.685714286
320;5555;1;0;0;1;86;1;0;84;0;0;1;0;0;255;255;37.7;255;257.8;1.2;9;9.1;0;83;1;0;2;7.05;7.05
321;5805;0;1;0;0;78;1;1;68;3;1;1;0;0;34.9;49.9;14.8;1.5;14.9;2.7;9.2;9.6;78;75;0;1;10;1.46;1.46
322;5830;1;1;0;1;73;1;0;75;1;1;1;0;0;13.2;107.9;26.9;1.3;26.9;3.3;2;3.9;70;68;1;1;-2;-4.45;0
323;6355;0;1;1;1;85;1;1;73;0;1;0;0;0;255;255;255;255;360.6;2.9;1.8;3.4;95;0;1;0;12;0.7;0.7
324;7655;1;0;0;1;96;1;0;83;1;2;1;0;0;69.7;81.5;255;1.7;255;1.8;14.9;15;98;79;1;0;13;1.538461538;1.538461538
325;7655;1;1;1;0;98;1;0;72;2;3;3;0;0;35.2;109.2;52.2;0.5;52.2;3.5;4.7;5.9;107;96;0;0;26;0.419230769;0.419230769
326;7705;1;1;1;1;114;2;0;94;1;2;2;0;0;50;90.1;38.3;255;257.9;2.2;3.4;4;84;98;1;0;20;0.45;0.45
327;7730;0;1;1;0;96;2;0;89;2;0;2;0;0;31.3;255;42.5;1.8;42.5;1.8;2.3;2.9;0;76;1;0;7;1.128571429;1.128571429
328;8130;1;0;1;0;92;2;1;56;0;0;4;0;0;255;255;255;2.2;255;1.6;4.9;5.2;0;84;1;0;36;0.283333333;0.283333333
329;10330;1;1;0;1;87;3;0;83;0;0;1;0;0;255;255;22.6;255;256;2.6;3.5;4.4;0;84;1;0;4;2.35;2.35
330;10680;0;1;1;1;98;1;1;70;0;1;3;0;0;255;255;82.6;1.6;82.6;3.1;6.5;7.2;0;105;1;0;28;0.435714286;0.435714286
331;10905;1;1;0;0;93;1;0;91;1;0;1;0;0;44.6;255;51.4;255;260.1;3.7;1.8;4.1;0;95;0;0;2;4.55;4.55
332;10930;1;0;1;0;95;1;1;79;0;0;1;0;0;255;255;15.7;1.4;15.8;1.6;3.1;3.5;0;90;1;0;16;0.53125;0.53125
333;11055;0;1;1;0;88;1;1;70;0;1;0;0;0;255;255;255;255;360.6;3.4;4.6;5.7;75;0;1;0;18;0.594444444;0.594444444
334;11155;1;1;0;0;76;1;0;75;1;1;1;0;0;19.2;70.6;36.8;2.1;36.9;3;5.4;6.2;78;70;1;0;1;11.2;11.2
335;11280;1;0;0;0;49;2;1;54;0;1;1;0;0;255;61.4;45;3.6;45.1;0.8;4.9;5;82;76;1;0;-5;-2;0
336;11330;1;0;1;1;115;2;1;89;1;1;1;0;0;11.9;34.3;15.7;1.4;15.8;0.6;6.5;6.5;86;86;1;0;26;0.442307692;0.442307692
337;11380;0;0;1;1;117;1;0;86;1;2;2;0;0;40.9;58.7;34.6;2;34.7;1.7;9.8;9.9;93;51;1;0;31;0.480645161;0.480645161
338;11455;1;1;1;1;96;1;0;81;1;0;1;0;0;10.1;255;26.6;1.2;26.6;3.1;2.5;4;0;58;1;0;15;0.6;0.6
